NODE min_life

414.000000 2398.000000
415.000000 2384.000000
416.000000 2419.000000
417.000000 2395.000000
418.000000 2291.000000
419.000000 2872.000000
420.000000 2923.000000
421.000000 2886.000000
422.000000 2848.000000
423.000000 2853.000000
424.000000 3441.000000
425.000000 3551.000000
426.000000 3618.000000
427.000000 3539.000000
428.000000 3538.000000
429.000000 4158.000000
430.000000 4158.000000
431.000000 4158.000000
432.000000 4158.000000
433.000000 4158.000000
434.000000 4158.000000
435.000000 4158.000000
436.000000 4158.000000
437.000000 4158.000000
438.000000 4158.000000
439.000000 4158.000000
440.000000 4158.000000
441.000000 4158.000000
442.000000 4158.000000
443.000000 4158.000000
444.000000 4158.000000
445.000000 4158.000000
446.000000 4158.000000
447.000000 4158.000000
448.000000 4158.000000
456.000000 2094.000000
457.000000 2108.000000
458.000000 2093.000000
459.000000 2029.000000
460.000000 2039.000000
468.000000 4158.000000
469.000000 4158.000000
470.000000 4158.000000
471.000000 4158.000000
472.000000 4158.000000
575.000000 4158.000000
576.000000 4158.000000
580.000000 4158.000000
581.000000 4158.000000
585.000000 4158.000000
586.000000 4158.000000
590.000000 4158.000000
591.000000 4158.000000
595.000000 4158.000000
596.000000 4158.000000
1702.000000 2334.000000
1703.000000 2146.000000
1704.000000 1932.000000
1729.000000 2179.000000
1730.000000 1905.000000
1757.000000 1957.000000
1758.000000 1878.000000
