NODE min_life

232.000000 2930.000000
233.000000 2997.000000
236.000000 4158.000000
237.000000 2739.000000
238.000000 3468.000000
242.000000 2597.000000
243.000000 2931.000000
247.000000 2661.000000
248.000000 2793.000000
251.000000 4158.000000
252.000000 2974.000000
253.000000 2910.000000
257.000000 2698.000000
258.000000 2816.000000
262.000000 2839.000000
263.000000 2452.000000
266.000000 4158.000000
267.000000 3010.000000
268.000000 2414.000000
272.000000 2596.000000
273.000000 2747.000000
277.000000 3616.000000
278.000000 3126.000000
281.000000 3981.000000
282.000000 2702.000000
283.000000 2566.000000
295.000000 3948.000000
296.000000 4016.000000
298.000000 4158.000000
299.000000 4158.000000
300.000000 4158.000000
301.000000 4158.000000
302.000000 3782.000000
303.000000 4158.000000
304.000000 4135.000000
