NODE min_life

8038.000000 1368.000000
8039.000000 1836.000000
8043.000000 1464.000000
8044.000000 1779.000000
8048.000000 1231.000000
8053.000000 1197.000000
8058.000000 1296.000000
8063.000000 1304.000000
8068.000000 1595.000000
8073.000000 1527.000000
8078.000000 1542.000000
8083.000000 1717.000000
8087.000000 3140.000000
8088.000000 1819.000000
8098.000000 2079.000000
8103.000000 2006.000000
8107.000000 3355.000000
8108.000000 1991.000000
8112.000000 3237.000000
8113.000000 2136.000000
8127.000000 3020.000000
8157.000000 3186.000000
8172.000000 3208.000000
8217.000000 3396.000000
8809.000000 1686.000000
8900.000000 3248.000000
8914.000000 2167.000000
8916.000000 2169.000000
8920.000000 2391.000000
8921.000000 1972.000000
8922.000000 2360.000000
8923.000000 2260.000000
8924.000000 2065.000000
8929.000000 2583.000000
8932.000000 2477.000000
8933.000000 2336.000000
8934.000000 2539.000000
8935.000000 2995.000000
8936.000000 2254.000000
8937.000000 2878.000000
8938.000000 2770.000000
8939.000000 2669.000000
