NODE min_life

7553.000000 1274.000000
7554.000000 1032.000000
7559.000000 891.000000
7561.000000 800.000000
7563.000000 853.000000
7565.000000 626.000000
7579.000000 761.000000
7582.000000 852.000000
7584.000000 900.000000
7585.000000 1006.000000
7586.000000 964.000000
7587.000000 1043.000000
7588.000000 1155.000000
7589.000000 1150.000000
7591.000000 1585.000000
7593.000000 1468.000000
7594.000000 1637.000000
7595.000000 1814.000000
7596.000000 1937.000000
9786.000000 2252.000000
9932.000000 1540.000000
9937.000000 1482.000000
9942.000000 1478.000000
9997.000000 1111.000000
10032.000000 964.000000
10062.000000 885.000000
10067.000000 814.000000
10072.000000 730.000000
10082.000000 701.000000
10087.000000 660.000000
10092.000000 658.000000
10097.000000 623.000000
10102.000000 629.000000
10107.000000 583.000000
10112.000000 504.000000
10117.000000 493.000000
10122.000000 486.000000
10127.000000 475.000000
10132.000000 488.000000
10133.000000 735.000000
10137.000000 489.000000
10142.000000 454.000000
10147.000000 438.000000
10152.000000 429.000000
10157.000000 424.000000
10162.000000 451.000000
10167.000000 424.000000
10172.000000 428.000000
10177.000000 400.000000
10182.000000 445.000000
10187.000000 449.000000
10192.000000 448.000000
10197.000000 474.000000
10201.000000 1923.000000
10202.000000 477.000000
10206.000000 1414.000000
10207.000000 552.000000
10211.000000 1567.000000
10212.000000 492.000000
10216.000000 1426.000000
10217.000000 486.000000
10221.000000 1308.000000
10222.000000 515.000000
10226.000000 1187.000000
10231.000000 1191.000000
10232.000000 536.000000
10243.000000 658.000000
10252.000000 817.000000
10366.000000 1277.000000
10371.000000 1274.000000
10391.000000 1461.000000
10437.000000 653.000000
10438.000000 658.000000
10439.000000 651.000000
10441.000000 618.000000
10444.000000 545.000000
10492.000000 1428.000000
10494.000000 1464.000000
10497.000000 1588.000000
10538.000000 1911.000000
