NODE min_life

4221.000000 1856.000000
4222.000000 1743.000000
4226.000000 711.000000
4229.000000 476.000000
4230.000000 445.000000
4231.000000 425.000000
4235.000000 615.000000
4236.000000 649.000000
4237.000000 688.000000
4238.000000 755.000000
4239.000000 767.000000
4240.000000 837.000000
4241.000000 899.000000
4242.000000 1083.000000
4244.000000 1210.000000
4245.000000 1290.000000
4246.000000 1500.000000
4247.000000 1716.000000
4248.000000 2186.000000
5431.000000 1285.000000
5446.000000 1246.000000
5481.000000 979.000000
5511.000000 819.000000
5516.000000 683.000000
5521.000000 579.000000
5526.000000 537.000000
5531.000000 537.000000
5536.000000 541.000000
5541.000000 674.000000
5546.000000 653.000000
5551.000000 734.000000
5552.000000 700.000000
5556.000000 590.000000
5566.000000 635.000000
5571.000000 608.000000
5680.000000 1150.000000
5685.000000 984.000000
