NODE min_life

2.000000 1000000000.000000
47.000000 1188.000000
4036.000000 1760.000000
4037.000000 1587.000000
4113.000000 1699.000000
4258.000000 2561.000000
4259.000000 2462.000000
4260.000000 2120.000000
4261.000000 1802.000000
4262.000000 1676.000000
4264.000000 1511.000000
4265.000000 1401.000000
4267.000000 1409.000000
4269.000000 1363.000000
4272.000000 1587.000000
4279.000000 2028.000000
4284.000000 1073.000000
4285.000000 1453.000000
4335.000000 625.000000
4336.000000 659.000000
4337.000000 713.000000
4338.000000 732.000000
4482.000000 2506.000000
4483.000000 2476.000000
4484.000000 2475.000000
5779.000000 1020.000000
5780.000000 1082.000000
5781.000000 1112.000000
5782.000000 888.000000
5783.000000 732.000000
5784.000000 850.000000
5785.000000 787.000000
5787.000000 640.000000
5790.000000 618.000000
5791.000000 605.000000
5793.000000 603.000000
5794.000000 611.000000
5795.000000 615.000000
5796.000000 557.000000
5797.000000 594.000000
5798.000000 572.000000
5799.000000 592.000000
5800.000000 545.000000
5802.000000 728.000000
5804.000000 683.000000
5805.000000 804.000000
5807.000000 957.000000
5809.000000 967.000000
6001.000000 1645.000000
6002.000000 1069.000000
