NODE min_life

1892.000000 542.000000
1893.000000 464.000000
1894.000000 445.000000
2011.000000 442.000000
2012.000000 335.000000
2013.000000 388.000000
2015.000000 355.000000
2016.000000 305.000000
2017.000000 348.000000
2018.000000 355.000000
2019.000000 357.000000
2020.000000 385.000000
2132.000000 321.000000
2133.000000 319.000000
2134.000000 314.000000
2135.000000 310.000000
2136.000000 362.000000
2137.000000 362.000000
2141.000000 346.000000
2250.000000 392.000000
2251.000000 445.000000
2252.000000 370.000000
2253.000000 367.000000
2255.000000 338.000000
2256.000000 351.000000
2374.000000 408.000000
4221.000000 1849.000000
4222.000000 1736.000000
4223.000000 1364.000000
4224.000000 1040.000000
4225.000000 885.000000
4226.000000 707.000000
4227.000000 742.000000
4229.000000 474.000000
