NODE min_life

463.000000 1502.000000
484.000000 1508.000000
505.000000 1526.000000
526.000000 1401.000000
548.000000 1536.000000
549.000000 1563.000000
550.000000 1572.000000
551.000000 1578.000000
573.000000 1863.000000
574.000000 1899.000000
575.000000 1916.000000
576.000000 1836.000000
577.000000 1900.000000
578.000000 2240.000000
579.000000 2207.000000
580.000000 2206.000000
581.000000 2325.000000
582.000000 2138.000000
583.000000 2836.000000
584.000000 2680.000000
585.000000 2791.000000
586.000000 2828.000000
587.000000 2825.000000
588.000000 3253.000000
589.000000 3358.000000
590.000000 3325.000000
591.000000 3369.000000
592.000000 3143.000000
593.000000 3726.000000
594.000000 3749.000000
595.000000 3738.000000
596.000000 3768.000000
597.000000 3558.000000
598.000000 3917.000000
599.000000 3963.000000
600.000000 4115.000000
601.000000 3762.000000
602.000000 3829.000000
609.000000 1654.000000
610.000000 1674.000000
611.000000 1687.000000
612.000000 1432.000000
613.000000 1697.000000
