NODE min_life

141094.000000 1803.000000
141113.000000 1826.000000
141132.000000 1834.000000
141152.000000 1754.000000
141153.000000 1781.000000
141154.000000 1739.000000
141177.000000 2052.000000
141178.000000 2103.000000
141179.000000 2121.000000
141180.000000 2148.000000
141181.000000 2089.000000
141182.000000 2489.000000
141183.000000 2521.000000
141184.000000 2533.000000
141185.000000 2596.000000
141186.000000 2534.000000
141187.000000 3029.000000
141188.000000 3038.000000
141189.000000 3132.000000
141190.000000 3131.000000
141191.000000 3121.000000
141196.000000 3678.000000
141213.000000 1816.000000
141214.000000 1849.000000
141215.000000 1886.000000
141216.000000 1904.000000
141217.000000 1868.000000
