NODE min_life

236.000000 203.000000
255.000000 224.000000
273.000000 292.000000
274.000000 229.000000
292.000000 297.000000
293.000000 203.000000
311.000000 258.000000
312.000000 180.000000
330.000000 252.000000
349.000000 192.000000
368.000000 230.000000
369.000000 243.000000
406.000000 211.000000
407.000000 240.000000
425.000000 186.000000
444.000000 190.000000
463.000000 185.000000
482.000000 228.000000
501.000000 242.000000
519.000000 227.000000
801.000000 220.000000
135199.000000 230.000000
