NODE min_life

2766.000000 2266.000000
2767.000000 2405.000000
2790.000000 2296.000000
2791.000000 2424.000000
2814.000000 2279.000000
2815.000000 2409.000000
2816.000000 2644.000000
2862.000000 2224.000000
2863.000000 2232.000000
2864.000000 2225.000000
3206.000000 3897.000000
3207.000000 3882.000000
3208.000000 4063.000000
3209.000000 3914.000000
3210.000000 3888.000000
3211.000000 3189.000000
3212.000000 3188.000000
3213.000000 3241.000000
3214.000000 3172.000000
3215.000000 3166.000000
3216.000000 2640.000000
3217.000000 2656.000000
3218.000000 2690.000000
3219.000000 2665.000000
3220.000000 2615.000000
3221.000000 2329.000000
3222.000000 2364.000000
3223.000000 2391.000000
3224.000000 2368.000000
3225.000000 2354.000000
